Pack,Freestyle Channel,Title,BPM,Composer,Vocalist,Genre,4B Normal,4B Hard,4B Maximum,4B SC,5B Normal,5B Hard,5B Maximum,5B SC,6B Normal,6B Hard,6B Maximum,6B SC,8B Normal,8B Hard,8B Maximum,8B SC,Platform Exclusivity
Base,Respect,2Nite,110,ND Lee,ND Lee,Funk,4,6,,,4,9,,,3,8,,,4,8,,,
Base,Respect,Always,135,"YUGI, Mool",Shin Ji,Pop,4,6,,,6,9,,,5,10,,,6,10,,,
Base,Respect,Armored Phantom,151,ned,,Epic Music,3,7,,,6,11,,,7,9,12,,6,11,,,
Base,Respect,Beautiful Day,83,ND Lee,Flower kim,Cute Pop,3,6,8,,4,8,,,2,8,,,4,8,,,
Base,Respect,Beyond Yourself,90,Mycin.T,,Progressive Rock,6,9,,,6,10,,,7,9,12,,6,11,,,
Base,Respect,Binary World,182,Tsukasa,Aki Misawa,Melodic Trance,5,8,13,,5,7,13,15,9,12,13,,5,7,13,15,
Base,Respect,BlackCat,130,BEXTER,JC,Nu Funk,5,11,,,6,11,,14,5,8,12,13,7,12,,,
Base,Respect,Bleed,145,Axol & The Tech Thieves,,Electronica/Downtempo,4,5,,,5,9,,,5,9,,,5,9,,,
Base,Respect,Boom!,175,BEXTER,DyoN Joo,Funk Rock,4,8,12,,4,8,12,15,5,9,13,,6,10,13,15,
Base,Respect,"Bullet, Wanted!",150,Mycin.T,,Blues Rock,4,8,,,7,10,,,6,9,11,,7,11,,,
Base,Respect,Child of Night,130,GOTH,,Electro House,6,8,,15,7,9,12,,7,10,12,15,7,9,12,,
Base,Respect,Don't Die,175,Paul Bazooka,,Drum'n Bass,5,9,13,15,7,10,14,,8,11,14,15,7,10,14,,
Base,Respect,Enter The Universe,162,GOTH,,Hard Trance,6,9,12,,7,10,14,15,9,12,14,15,7,10,14,,
Base,Respect,Far East Princess,102,Nauts,LIM RYU,Oriental Ballad,5,7,10,,5,10,,,3,9,10,,5,9,,,
Base,Respect,Fly Away,140,XeoN,,Melodic Trance,3,10,,,6,10,,,4,,11,,6,10,,,
Base,Respect,glory day,162,"BEXTER, Mycin.T",DyoN Joo,J-Rock,8,10,,13,7,10,,,6,11,,14,7,10,,13,
Base,Respect,Groovin Up,120,Mycin.T,honey,Disco Funk,3,6,,,5,9,,,5,8,11,,5,9,,,
Base,Respect,Heavenly,125,makou,,Tropical House,5,7,,,4,8,,,5,9,12,,4,9,,,
Base,Respect,Kingdom,120,Phantom Sage,Miss Lina,House,5,,11,,5,7,,,5,,8,,6,11,,,
Base,Respect,KILLER BEE,116-155,GOTH,MuChi,Hybrid Trap,4,6,11,15,7,11,,,8,9,13,,7,12,,15,
Base,Respect,Kung Brother,145,Paul Bazooka,,Kungplextro,6,9,,,6,11,,,8,10,13,,6,11,,,
Base,Respect,Liar,140,zts,,Trance,6,9,,,8,12,,,8,10,13,,8,13,,,
Base,Respect,Lift You Up,88,makou,ASUKA,R&B,2,5,,,4,7,,,3,7,,,4,7,,,
Base,Respect,Mulch,200,Sampling Masters MEGA,,Gabber,6,12,,,7,,14,15,8,12,14,15,7,,15,,
Base,Respect,NB RANGER - Virgin Force,198,NieN,Ace (of Paran),Hard Rock,5,9,,15,7,12,15,,7,12,14,15,7,11,15,,
Base,Respect,NEON 1989 (ESTi Remix),120,"OREO, ESTi",YUKIKA,City Pop,4,6,,,3,7,,,4,6,,,5,9,,,
Base,Respect,Only for you,122,NieN,Lee Ji Ae,K-POP,1,4,9,12,5,7,10,,4,7,11,13,5,7,10,13,
Base,Respect,OPEN FIRE,140,JC,JC,Hip Hop,4,7,,,4,8,,,5,7,,,5,8,,,
Base,Respect,Over Your Dream,174,xxdbxx,???,Pop Rock,5,11,,,5,11,,,5,10,11,,7,12,,,
Base,Respect,quixotic,174,bermei.inazawa,foolen,Polypops,7,12,,15,7,11,,,6,,13,15,7,11,13,,
Base,Respect,Remains Of Doom,124,NieN,NieN,Industrial Rock,7,13,,,6,9,14,15,9,12,15,,6,10,13,15,
Base,Respect,Royal Clown,143-164,bermei.inazawa,,Theatrical,6,9,14,,7,11,,15,7,10,13,15,7,10,14,,
Base,Respect,Runaway,140,LeeZu,LeeZu,Progressive Rock,6,10,,,8,11,,15,9,11,12,15,8,13,,,
Base,Respect,Running girl,170,Mycin.T,Ssong,Pop Rock,5,7,,13,5,9,,,4,10,12,14,6,10,,,
Base,Respect,Ruti'n (GOTH Wild Electro Remix),112,"BEXTER, GOTH","So Fly, JC",Moombahcore,6,10,,,4,10,,,7,10,13,,9,12,,,
Base,Respect,Secret Dejavu,160,DINY,Creha,Ani Pop,4,6,10,14,5,10,,,6,8,11,15,5,10,,,
Base,Respect,So Happy,126,Raven & Kreyn,,Future House,5,10,,,5,9,,,4,7,11,,5,10,12,,
Base,Respect,Shadow Flower,142,ned,moa,Pop,3,6,,,6,9,,,5,11,,,6,9,,,
Base,Respect,Soar ~Stay With Me~,142,Mycin.T,moa,Electronic Rock,4,7,,,6,10,,,6,10,11,,7,11,,,
Base,Respect,The Feelings,130,Supbaby,Wes Joseph,Disco Funk,5,7,,,6,9,,,6,10,,,6,10,,,
Base,Respect,The Lost Story,70,Neowiz Bless Team,Kim Min Seon,Pop Rock,1,4,,,4,8,,,2,7,,,4,6,,,
Base,Respect,The Obilterator,186,GOTH,,Drumstep,5,8,,,7,11,,,8,,13,,7,11,,,
Base,Respect,Tok! Tok! Tok!,178,STARTRACK,Lena,Pop,4,7,,,4,7,,,4,6,10,,5,8,11,,
Base,Respect,U.A.D,129,HAYAKO,,Future House,3,6,,,5,10,,15,6,8,11,,8,,12,13,
Base,Respect,Void,127,Kobayashi Tetsuya,,,3,7,11,,5,11,,,5,10,,,6,11,,,
Base,Respect,voldenuit,105,Cuve,,Electronica,5,9,12,15,4,9,12,,5,9,12,15,6,9,13,,
Base,Respect,waiting for me,150,Croove,Nina Park,Pop Rock,3,8,,,4,8,,,4,9,,,5,9,,,
