Genre,Song,Artist,BPM,BEGINNER,SPN,SPH,SPA,SPKA,DPN,DPH,DPA,DPKA,Disc,Style,Origin,Unlockable,RemyWiki Link
DANCE SPEED,3y3s,青龍,191,3,7,10,12,,8,10,12,,Empress,16,16,,https://remywiki.com/3y3s
HARD CORE,ALL I NEED YOUR LOVE,GUHROOVY fw.M-Project,145,3,5,7,9,,6,7,9,,Empress,16,16,,https://remywiki.com/ALL_I_NEED_YOUR_LOVE
ONLY ONE EURO BEAT,ALL MY TURN -このターンに、オレの全てを賭ける-,SUPER STAR 満-MITSURU-,170,3,6,9,11,12,6,9,11,12,Empress,16,16,,"https://remywiki.com/ALL_MY_TURN_-kono_turn_ni,_ore_no_subete_wo_kakeru-"
ARABIC HARDCORE,Arabian Rave Night,dj MAX STEROID,180,3,6,10,11,12,6,10,11,12,Empress,16,16,,https://remywiki.com/Arabian_Rave_Night
RECKLESS RAVE,B4U (BEMANI FOR YOU MIX),Remixed by DJ YOSHITAKA with Michael a la mode,170,3,6,9,11,12,7,9,11,12,Empress,16,16,,https://remywiki.com/B4U_(BEMANI_FOR_YOU_MIX)
HOUSE,Bahram Attack -猫叉Master Remix-,猫叉Master feat.JUNE,155,3,4,9,10,11,5,9,11,11,Empress,16,16,,https://remywiki.com/Bahram_Attack_-Nekomata_Master_Remix-
JUMPSTYLE,BITTER CHOCOLATE STRIKER,L.E.D.-G,165,3,5,10,12,,5,10,11,,Empress,16,16,,https://remywiki.com/BITTER_CHOCOLATE_STRIKER
HAPPY ☆ JIG,BRIDAL FESTIVAL !!!,S.S.D. feat.ななっち,138,2,4,7,9,,5,8,9,,Empress,16,16,,https://remywiki.com/BRIDAL_FESTIVAL_!!!
NOSTALISH REQUIEM,CaptivAte2～覚醒～,e-lma,175,1,6,9,11,12,5,9,11,12,Empress,16,16,,https://remywiki.com/CaptivAte2~kakusei~
HAPPY HARDCORE,Colorful Cookie,Lucky Vacuum,180,3,5,10,12,,7,10,12,,Empress,16,16,,https://remywiki.com/Colorful_Cookie
BUCHIAGE TRANCE,Cyber Force -DJ Yoshitaka Remix-,Remixed by DJ YOSHITAKA,146,3,5,9,10,,6,9,10,,Empress,16,16,,https://remywiki.com/Cyber_Force_-DJ_Yoshitaka_Remix-
MEGA MIX,Flash Back 90's,kors k as disconation,155,3,4,8,10,,5,8,9,10,Empress,16,16,,https://remywiki.com/Flash_Back_90%27s
DREAM TRANCE,Fly Above,Sota Fujimori,150,2,5,6,8,,5,8,9,,Empress,16,16,,https://remywiki.com/Fly_Above
TRANCE CORE,Go Beyond!!,Ryu☆ Vs. Sota,200,3,6,10,12,,6,10,12,,Empress,16,13CS,,https://remywiki.com/Go_Beyond!!
HOUSE,HOUSE NATION,ravex,128,1,4,7,9,,5,8,10,,Empress,16,16,,https://remywiki.com/HOUSE_NATION
MORNING FULL ON,HYPERION,L.E.D.,150,3,6,9,11,,6,9,11,,Empress,16,16,,https://remywiki.com/HYPERION
TECHNO POP,I'm Screaming LOVE,Creative Life,147,1,4,6,7,,5,7,9,,Empress,16,16,,https://remywiki.com/I%27m_Screaming_LOVE
MIXTURE,Jack,DesQ,116,2,5,7,10,11,5,8,11,,Empress,16,16,,https://remywiki.com/Jack
HARDCORE,JEWELLERY STORM,L.E.D.-G fw. Eriko Tanzawa,176,3,5,8,11,,5,9,11,,Empress,16,16,,https://remywiki.com/JEWELLERY_STORM
NU SKOOL BREAKS,Just a Little Smile,Sota Fujimori,136,3,4,8,11,,5,8,11,,Empress,16,12CS,,https://remywiki.com/Just_a_Little_Smile
ASIAN JANGLE,Kung-fu Empire,飛燕流舞,177,3,6,10,11,12,6,10,11,12,Empress,16,16,,https://remywiki.com/Kung-fu_Empire
宮廷円舞曲,Marie Antoinette,Marguerite du Pré,205-248,3,6,9,11,12,6,9,11,11,Empress,16,16,,https://remywiki.com/Marie_Antoinette
ELECTRO-TECH,Mind Mapping,Ryu☆,128,3,4,7,9,10,4,7,8,11,Empress,16,16,,https://remywiki.com/Mind_Mapping
EUROBEAT,Monkey Dance '09,Y&Co. Feat. DOMINO,155,3,4,8,10,,4,8,11,,Empress,16,16,,https://remywiki.com/Monkey_Dance_%2709
TRANCE,MY FUTURE,PINK PONG,148,2,5,8,9,,6,9,11,,Empress,16,16,,https://remywiki.com/MY_FUTURE
TECH-BREAKBEATS,naughty girl@Queen's Palace,DJ Mass MAD Izm*,145,2,5,9,11,11,5,8,10,11,Empress,16,16,,https://remywiki.com/Naughty_girl@Queen%27s_Palace
ENERGETIC TRANCE,neogenesis,DM Ashura,151,2,4,6,9,11,5,7,9,11,Empress,16,16,,https://remywiki.com/Neogenesis
DANCE MUSIC OF SORROW,NΦ CRIME,C×F,160,2,4,7,9,10,5,8,9,11,Empress,16,16,,https://remywiki.com/NO_CRIME
HOUSE,Our Song,Shinichi Osawa,136,1,4,7,9,,5,8,10,,Empress,16,16,,https://remywiki.com/Our_Song
PSY TRANCE (FULL ON),Programmed World,kors k as StripE,153,2,5,9,11,,5,10,11,,Empress,16,16,,https://remywiki.com/Programmed_World
PSYCHEDELIC TRANCE,PSYCHE PLANET-GT,Remixed by L.E.D.,152,3,6,9,10,,6,9,10,,Empress,16,16,,https://remywiki.com/PSYCHE_PLANET-GT
