Name,Transliteral Name,Artist,Composition,Arrangement,Genre,BPM,Length,Beginner Rating,Beginner Note Count,Beginner Charge Notes,SPN Rating,SPN Note Count,SPN Charge Notes,SPN Backspin Scratches,SPN Hell Charge Notes,SPN Hell Backspin Scratches,SPH Rating,SPH Note Count,SPH Charge Notes,SPH Backspin Scratches,SPH Hell Charge Notes,SPH Hell Backspin Scratches,SPA Rating,SPA Note Count,SPA Charge Notes,SPA Backspin Scratches,SPA Hell Charge Notes,SPA Hell Backspin Scratches,SPL Rating,SPL Note Count,SPL Charge Notes,SPL Backspin Scratches,SPL Hell Charge Notes,SPL Hell Backspin Scratches,DPN Rating,DPN Note Count,DPN Charge Notes,DPN Backspin Scratches,DPN Hell Charge Notes,DPN Hell Backspin Scratches,DPH Rating,DPH Note Count,DPH Charge Notes,DPH Backspin Scratches,DPH Hell Charge Notes,DPH Hell Backspin Scratches,DPA Rating,DPA Note Count,DPA Charge Notes,DPA Backspin Scratches,DPA Hell Charge Notes,DPA Hell Backspin Scratches,DPL Rating,DPL Note Count,DPL Charge Notes,DPL Backspin Scratches,DPL Hell Charge Notes,DPL Hell Backspin Scratches,First Music Game Appearance,Other Music Game Appearances,Video Jockey,RemyWiki Link
50th Memorial Songs -Beginning Story-,50th Memorial Songs -Beginning Story-,BEMANI Sound Team,KONAMI Kukeiha Club,Yoshihiko Koezuka,ANNIVERSARY,135,2:08,,,,4,417,4,,,,8,846,19,,,,10,1378,23,,,,,,,,,,4,433,3,,,,8,867,19,,,,11,1468,33,,,,,,,,,,beatmania IIDX 26 Rootage / DanceDanceRevolution A20 / DANCERUSH STARDOM / GITADORA EXCHAIN / jubeat festo / pop'n music peace / REFLEC BEAT 悠久のリフレシア / SOUND VOLTEX VIVID WAVE / ノスタルジア Op.2,"beatmania IIDX INFINITAS, DanceDanceRevolution A, SOUND VOLTEX III GRAVITY WARS コナステ",-0,https://remywiki.com/50th_Memorial_Songs_-Beginning_Story-
50th Memorial Songs -Flagship medley-,50th Memorial Songs -Flagship medley-,BEMANI Sound Team,"S.W.N.C, Jikkyou Powerful Pro Yakyuu Sound Team, Y.T., Kazuki Muraoka",Gekidan Record,ANNIVERSARY,135-175,1:52,,,,5,496,,,,,8,786,,,,,10,1157,,,,,,,,,,,5,481,,,,,8,889,,,,,10,1148,,,,,,,,,,,beatmania IIDX 26 Rootage / beatmania IIDX INFINITAS / DanceDanceRevolution A / DanceDanceRevolution A20 / DANCERUSH STARDOM / GITADORA EXCHAIN / jubeat festo / pop'n music peace / REFLEC BEAT 悠久のリフレシア / SOUND VOLTEX III GRAVITY WARS コナステ / SOUND VOLTEX VIVID WAVE / ノスタルジア Op.2,,?,https://remywiki.com/50th_Memorial_Songs_-Flagship_medley-
50th Memorial Songs -The BEMANI History-,50th Memorial Songs -The BEMANI History-,BEMANI Sound Team,"Tomomi Ohta, Jun Wakita, Takayuki Ishikawa, Kiyotaka Sugimoto, Naoki Maeda, Tomosuke Funaki, Osamu Migitera, Hirofumi Sasaki, Reo Nagumo, Toshio Sakurai",DJ TOTTO,ANNIVERSARY,136,1:58,,,,5,545,,,,,9,851,5,,,,11,1348,5,,,,,,,,,,6,628,,,,,9,785,6,,,,11,1290,6,,,,,,,,,,beatmania IIDX 26 Rootage / beatmania IIDX INFINITAS / DanceDanceRevolution A / DanceDanceRevolution A20 / DANCERUSH STARDOM / GITADORA EXCHAIN / jubeat festo / pop'n music peace / REFLEC BEAT 悠久のリフレシア / SOUND VOLTEX III GRAVITY WARS コナステ / SOUND VOLTEX VIVID WAVE / ノスタルジア Op.2,,?,https://remywiki.com/50th_Memorial_Songs_-The_BEMANI_History-
50th Memorial Songs -二人の時 ～under the cherry blossoms～-,50th Memorial Songs -futari no toki ~under the cherry blossoms~-,BEMANI Sound Team,METAL YUHKI (Mikio Saito),dj TAKA,ANNIVERSARY,160,2:05,,,,5,621,,,,,8,834,,,,,10,1311,,,,,,,,,,,5,623,,,,,8,829,,,,,10,1317,,,,,,,,,,,beatmania IIDX 26 Rootage / beatmania IIDX INFINITAS / DanceDanceRevolution A / DanceDanceRevolution A20 / DANCERUSH STARDOM / GITADORA EXCHAIN / jubeat festo / pop'n music peace / REFLEC BEAT 悠久のリフレシア / SOUND VOLTEX III GRAVITY WARS コナステ / SOUND VOLTEX VIVID WAVE / ノスタルジア Op.2,,?,https://remywiki.com/50th_Memorial_Songs_-futari_no_toki_~under_the_cherry_blossoms~-
A Tale Hidden In The Abyss,A Tale Hidden In The Abyss,"BEMANI Sound Team ""person09""",Konami Amusement(person09),Konami Amusement(person09),COMMENT OUT,216,2:02,,,,6,480,12,,,,9,888,17,,,,11,1346,18,,,,,,,,,,6,483,12,,,,9,864,17,,,,11,1346,18,,,,,,,,,,beatmania IIDX 26 Rootage,,alo,https://remywiki.com/A_Tale_Hidden_In_The_Abyss
AGAiN,AGAiN,DJ NAGAI,DJ NAGAI,DJ NAGAI,HARDCORE,174,1:55,,,,5,518,,,,,8,823,,,,,10,1166,,,,,,,,,,,6,565,,,,,8,842,,,,,10,1195,,,,,,,,,,,beatmania IIDX 26 Rootage,,板垣聖一(IMAGICA),https://remywiki.com/AGAiN
Afterimage d'automne,Afterimage d'automne,"BEMANI Sound Team ""猫叉劇団""","Naoyuki Sato, Tomoaki Hirono","Naoyuki Sato, Tomoaki Hirono",ASYMMETRY ART,232,2:02,,,,6,519,27,,,,9,879,38,,,,11,1480,34,,,,,,,,,,6,525,27,,,,9,913,42,,,,12,1554,55,,,,,,,,,,beatmania IIDX 26 Rootage / DanceDanceRevolution A20 / DANCERUSH STARDOM / GITADORA EXCHAIN / jubeat festo / pop'n music peace / SOUND VOLTEX VIVID WAVE / ノスタルジア Op.2,,F-FLY,https://remywiki.com/Afterimage_d%27automne
Angels & Demons,Angels & Demons,月代 彩,Hikari Tsukishiro,Hikari Tsukishiro,DRUM & BASS,174,2:07,,,,5,468,,,,,8,907,,,,,10,1233,13,,,,,,,,,,5,500,,,,,8,897,6,,,,10,1227,12,,,,,,,,,,beatmania IIDX 26 Rootage,,alo,https://remywiki.com/Angels_%26_Demons
BLO§OM,BLOSSOM,"BEMANI Sound Team ""TAG""",Konami Amusement (TAG),Konami Amusement (TAG),BLOOM TRANCE,158,2:04,,,,5,550,,,,,8,843,,,,,10,1290,8,,,,,,,,,,5,546,,,,,8,815,,,,,10,1316,8,,,,,,,,,,beatmania IIDX 26 Rootage,,"BEMANI Designers ""T田""",https://remywiki.com/BLOSSOM
BLACK JACKAL,BLACK JACKAL,Akira Complex,Brandon Thompson,Brandon Thompson,DANCE MUSIC,150,2:03,,,,5,428,3,,,,8,812,10,,,,10,1183,16,,,,,,,,,,5,428,3,,,,8,813,10,,,,10,1138,12,,,,,,,,,,beatmania IIDX 26 Rootage / DanceDanceRevolution A20 / DANCERUSH STARDOM / jubeat festo / pop'n music peace / SOUND VOLTEX VIVID WAVE,,Hiromitsu Kawasaki,https://remywiki.com/BLACK_JACKAL
