Type,BPM,Artist,Song Title,Version,Single,Double,Single Performance,Double Performance,Co-Op,Series,Channel,Exclusivity
Normal,120,Banya,A Nightmare,1,1 4,13,,5,,1st ~ Perfect,Original,
Normal,130,Banya,All I Want For X-mas,1,3 6 11,7,,,,1st ~ Perfect,Original,
Normal,136,Novasonic,Another Truth,1,3 5 8 15,6 16 17 22,,,,1st ~ Perfect,K-Pop,
Normal,162,Banya,Beethoven Virus,1,4 7 8 13 16 17,8 18 20,,3,,1st ~ Perfect,Original,
Normal,136,Banya,Betrayer,1,1 5 8 13 16,8 13 17,2,,,1st ~ Perfect,Original,
Normal,105,Banya,Close Your Eye,1,4,,2,3,,1st ~ Perfect,Original,
Normal,158,Sechs Kies,Com'Back,1,4 6 8 15,7 16,,,,1st ~ Perfect,K-Pop,
Normal,110,Tashannie,Don't Bother Me,1,4 5 10,5 13,2,,,1st ~ Perfect,K-Pop,
Normal,195,Banya,Extravaganza,1,4 7 9 11 16 21,12 17 19,,,,1st ~ Perfect,Original,
Normal,130,Banya,Final Audition,1,2 6 7 9 15 17,15 17,,3,,1st ~ Perfect,Original,
Normal,130,Banya,Final Audition 2,1,4 7 8 10 16,8 17 19,,3,,1st ~ Perfect,Original,
Normal,104,Banya,First Love,1,4 9,14,1,4,,1st ~ Perfect,Original,
Normal,99,Banya,Free Style,1,13,,1,3,,1st ~ Perfect,Original,
Normal,105,CLON,Funky Tonight,1,2 4 5 12,4 14,,,,1st ~ Perfect,K-Pop,
Normal,180,Banya,Hypnosis,1,7 15 18,8 15 18,,,,1st ~ Perfect,Original,
Normal,146,Banya,Ignition Starts,1,8 15 18,10 17,,,,1st ~ Perfect,Original,
Normal,80,Banya,Midnight Blue,1,12,13,4,5,,1st ~ Perfect,Original,
Normal,106,Sechs Kies,Mobius Strip,1,2 4 6 12,7 14,,,,1st ~ Perfect,K-Pop,
Normal,190,Banya,Mr. Larpus,1,3 5 11 14 20 22,14 17 23,,,,1st ~ Perfect,Original,
Normal,106,Banya,N,1,5 16,16,2,5,,1st ~ Perfect,Original,
Normal,136,Banya,Naissance,1,4 7 8 10 16 20,7 15,,,,1st ~ Perfect,Original,
Normal,148,Banya,Oh! Rosa,1,7 13,7,,,,1st ~ Perfect,Original,
Normal,106,Banya,Pump Jump,1,4 15,17,2,4,,1st ~ Perfect,Original,
Normal,135,Banya,Pumping Up,1,4 12,15,,,,1st ~ Perfect,Original,
Remix,150,Banya,Repeatorment Remix,1,7 19,8,,,,1st ~ Perfect,Remix,
Normal,142,Banya,Rolling Christmas,1,3 5 8 13,5 13 17,,,2,1st ~ Perfect,Original,
Normal,230,Banya,She Likes Pizza,1,8 9 21,9 16 23,,,,1st ~ Perfect,Original,
Normal,131,Novasonic,Slam,1,3 6 9 17 18,6 20 23,,,,1st ~ Perfect,K-Pop,
Normal,136,Banya,Solitary,1,2 4 6 8 9 16 17,7 16,3,5,,1st ~ Perfect,Original,
Normal,150,Banya,Turkey March,1,3 7 12 15 18,9 17 19,,,2,1st ~ Perfect,Original,
