Name,Song Artist,Original Artist,BPM,NOVICE,ADVANCED,EXHAUST,Classification,Contest,RemyWiki Link,Novice Jacket Link,Advanced Jacket Link,Exhaust Jacket Link
ALBIDA Powerless Mix,無力P,DJ YOSHITAKA,156,5,9,14,KONAMI Remix,,https://remywiki.com/ALBIDA_Powerless_Mix,https://remywiki.com/images/7/75/ALBIDA_Powerless_Mix_NOV.png,https://remywiki.com/images/8/86/ALBIDA_Powerless_Mix_ADV.png,https://remywiki.com/images/8/86/ALBIDA_Powerless_Mix_ADV.png
Broken 8cmix,iroha(sasaki),dj TAKA feat. AiMEE,150,5,10,14,KONAMI Remix,,https://remywiki.com/Broken_8cmix,https://remywiki.com/images/c/cd/Broken_8cmix.png,,https://remywiki.com/images/1/1f/Broken_8cmix_EXH.png
Evans VolteX Pf arrange,cosMo@暴走P,DJ YOSHITAKA,180,5,9,14,KONAMI Remix,,https://remywiki.com/Evans_VolteX_Pf_arrange,https://remywiki.com/images/b/b7/Evans_VolteX_Pf_arrange.png,,
gentle stress wobble rmx,fu_mou,DJ Swan,175,4,9,13,KONAMI Remix,,https://remywiki.com/Gentle_stress_wobble_rmx,https://remywiki.com/images/4/48/Gentle_stress_wobble_rmx.png,,
jet coaster☆girl sasakure.UK tRiCkStAr Remix,sasakure.UK feat. mirto,TOMOSUKE feat. Three Berry Icecream,120,1,5,9,KONAMI Remix,,https://remywiki.com/Jet_coaster_girl_sasakure.UK_tRiCkStAr_Remix,https://remywiki.com/images/d/d2/Jet_coaster_girl_sasakure.UK_tRiCkStAr_Remix.png,,
LOVE♡SHINE わんだふるmix,ARM (IOSYS) feat. 一ノ瀬月琉 (monotone),小坂りゆ ,177,4,7,12,KONAMI Remix,,https://remywiki.com/Love_Shine_wonderful_mix,https://remywiki.com/images/f/ff/Love_Shine_wonderful_mix.png,,
MAX 300 takamatt MIN REMIX,takamatt,Ω ,136,4,7,10,KONAMI Remix,,https://remywiki.com/MAX_300_takamatt_MIN_REMIX,https://remywiki.com/images/2/20/MAX_300_takamatt_MIN_REMIX.png,,https://remywiki.com/images/e/e6/MAX_300_takamatt_MIN_REMIX_EXH.png
smooooch・∀・ KN mix,KN,kors k,177,3,8,13,KONAMI Remix,,https://remywiki.com/Smooooch_KN_mix,https://remywiki.com/images/5/5e/Smooooch_KN_mix_NOV.png,https://remywiki.com/images/c/c8/Smooooch_KN_mix_ADV.png,https://remywiki.com/images/c/cc/Smooooch_KN_mix_EXH.png
ふしぎなくすり いっきのみっくす,ゆうゆ,上野圭市 feat. SATOE,162,3,6,9,KONAMI Remix,,https://remywiki.com/Fushigina_kusuri_Ikki_no_mix,https://remywiki.com/images/d/d0/Fushigina_kusuri_Ikki_no_mix.png,,https://remywiki.com/images/c/c4/Fushigina_kusuri_Ikki_no_mix_EXH.png
ガッテンだ!! Novoiski Remix,ノボイスキ,すわひでお with manzo,170,3,7,11,KONAMI Remix,,https://remywiki.com/Gatten_da!!_Novoiski_Remix,https://remywiki.com/images/c/c9/Gatten_da%21%21_Novoiski_Remix_NOV.png,https://remywiki.com/images/c/c4/Gatten_da%21%21_Novoiski_Remix_ADV.png,https://remywiki.com/images/d/db/Gatten_da%21%21_Novoiski_Remix_EXH.png
